split,policy,episodes,total_steps,avg_episode_return,avg_step_energy,avg_step_latency,miss_rate,avg_episode_length,best_episode_return,worst_episode_return
train,always_low,4.0,1152.0,-64.55700708939416,0.18000000000000463,0.0735937910265865,0.0,288.0,-56.86375471144973,-68.59002581438948
train,always_medium,4.0,1152.0,-122.37029971423243,0.4200000000000046,0.008161456679583512,0.0,288.0,-121.54085651014049,-122.91749349453809
train,always_high,4.0,1152.0,-244.79999999999887,0.8500000000000157,0.0,0.0,288.0,-244.79999999999887,-244.79999999999887
train,threshold(w=0.80),4.0,1152.0,-60.33577592939483,0.19993923611111555,0.015933309776590812,0.0,288.0,-56.641719177755576,-62.32991668961124
test,always_low,1.0,288.0,-519.6289664690183,0.17999999999999977,1.9432231855845943,0.22916666666666666,288.0,-519.6289664690183,-519.6289664690183
test,always_medium,1.0,288.0,-132.6059323555976,0.4200000000000015,0.06739544187267002,0.0,288.0,-132.6059323555976,-132.6059323555976
test,always_high,1.0,288.0,-244.79999999999887,0.8499999999999961,0.0,0.0,288.0,-244.79999999999887,-244.79999999999887
test,threshold(w=0.80),1.0,288.0,-108.44619624645301,0.2929513888888893,0.13932983938919588,0.0,288.0,-108.44619624645301,-108.44619624645301
