epoch,epsilon,train_online_avg_return,train_online_total_steps,eval_train_avg_return,eval_train_avg_energy,eval_train_avg_latency,eval_train_miss_rate,eval_test_avg_return,eval_test_avg_energy,eval_test_avg_latency,eval_test_miss_rate
1.0,0.2985,-244.96115225222675,5760.0,-258.09116834514117,0.3057708333333553,0.6847752797751211,0.08975694444444444,-73.38883285535256,0.2443807870370421,0.0174025821104497,0.0
5.0,0.29257462593656247,-205.8390393739769,5760.0,-181.88065696272673,0.2773229166666876,0.4717109777935573,0.035590277777777776,-58.601108549429604,0.18933449074074601,0.023569301019076064,0.0
10.0,0.2853330391397315,-219.79809878206606,5760.0,-122.44672641879087,0.2679809027777985,0.2498161251087446,0.0036458333333333334,-57.31202108523714,0.18531250000000535,0.022812622021048716,0.0
15.0,0.27827069064549825,-162.3776477128624,5760.0,-104.18899762948463,0.26843576388890883,0.13182579646692513,0.007118055555555555,-56.13979013758064,0.1910127314814867,0.006528492308530408,0.0
20.0,0.2713831440823852,-130.4446747700334,5760.0,-91.02447784696878,0.27514583333335324,0.06818563568847687,0.0,-56.2171440125259,0.1914062500000052,0.0063202778502661336,0.0
25.0,0.2646660728846403,-122.92204806522693,5760.0,-97.42140821716039,0.297223958333357,0.06840803366412279,0.0,-58.12534899831068,0.1995949074074127,0.0037153684315824036,0.0
30.0,0.2581152575744087,-119.69284856371053,5760.0,-96.0068156158111,0.2988159722222447,0.05756837740631425,0.0,-56.808925859145496,0.19425347222222755,0.004999570944129513,0.0
35.0,0.25172658311117363,-115.38544186536794,5760.0,-127.52353637121003,0.4167395833333305,0.04341745585191107,0.0,-87.60836696248857,0.3031134259259318,0.001803821156377745,0.0
40.0,0.24549603630680208,-116.35880300484746,5760.0,-98.8428593940342,0.28078819444446457,0.10402696408584618,0.0,-56.866051035398414,0.19019097222222742,0.01210098978818563,0.0
45.0,0.2394197033045713,-118.78858132665239,5760.0,-102.79492821602666,0.2976944444444662,0.09872064939830251,0.0,-58.72530070124933,0.19634837962963497,0.012598190786551418,0.0
50.0,0.23349376712059242,-114.51557693269419,5760.0,-91.26699476651126,0.2910434027777999,0.04309314100990334,0.0,-59.45023564822699,0.20465856481482023,0.0029431075321783517,0.0
55.0,0.22771450524608722,-114.71575447333848,5760.0,-99.74532735563935,0.31012152777780266,0.06036069071550561,0.0,-57.843989609476544,0.19930555555556076,0.0025693843141008275,0.0
60.0,0.22207828730901122,-111.11946202355193,5760.0,-93.20633732322072,0.28847569444446713,0.058595702101972,0.0,-57.10946580161172,0.19425925925926443,0.0067291616605620955,0.0
65.0,0.2165815727935547,-115.4598934659327,5760.0,-97.17110404514548,0.29968750000002153,0.06285361137236965,0.0,-59.8557077744186,0.20431712962963522,0.00585864838591073,0.0
70.0,0.21122090881608882,-114.25135424403393,5760.0,-97.75958850318666,0.3026684027777999,0.06129102143047825,0.0,-57.604555497526,0.19728587962963479,0.0045498967835228814,0.0
75.0,0.2059929279561599,-113.13236540300124,5760.0,-108.78029035352662,0.34772916666669423,0.04996695806438848,0.0,-82.05999091260922,0.2816840277777838,0.005410827040558972,0.0
80.0,0.20089434614116913,-116.14457915337285,5760.0,-100.80733920477074,0.31343576388891403,0.06098286576834926,0.0,-65.38327365598023,0.22484375000000506,0.003635842916552378,0.0
85.0,0.19592196058340955,-110.14017867388392,5760.0,-95.59900898181783,0.2994461805555802,0.054158038089223905,0.0,-57.37245243582575,0.19527777777778305,0.006553544188806942,0.0
90.0,0.19107264776816332,-109.96916811889096,5760.0,-95.13040323441528,0.3011701388889117,0.04857293538434763,0.0,-58.128423913330955,0.19997106481482016,0.0031062340663448045,0.0
95.0,0.18634336149159647,-110.29446229882515,5760.0,-95.05097045048788,0.3102256944444652,0.03302066232921266,0.0,-57.45844674920665,0.19735532407407927,0.0035886193048229468,0.0
100.0,0.18173113094721824,-112.3075819510519,5760.0,-110.024327920643,0.3553940972222469,0.04439136528149892,0.0,-72.1221315545816,0.24803240740741248,0.003986100817408939,0.0
105.0,0.17723305885970278,-111.59319526234329,5760.0,-110.67200035562857,0.3536128472222427,0.05110821965062827,0.0,-79.2998484188914,0.27349537037037613,0.003085542547597204,0.0
110.0,0.172846319664901,-109.60002539467753,5760.0,-94.00970162869125,0.28758159722224474,0.06473496312900068,0.0,-56.838124404393035,0.19292245370370897,0.0073869082044355,0.0
115.0,0.16856815773489972,-109.96270773227948,5760.0,-91.37043816845197,0.28713541666668896,0.05020508199335632,0.0,-57.06754124763299,0.19546875000000533,0.0044707248126914,0.0
