epoch,epsilon,train_online_avg_return,train_online_total_steps,eval_train_avg_return,eval_train_avg_energy,eval_train_avg_latency,eval_train_miss_rate,eval_test_avg_return,eval_test_avg_energy,eval_test_avg_latency,eval_test_miss_rate
1.0,0.2991,-101.49558611426573,1152.0,-111.68750000000104,0.38780381944444897,0.0,0.0,-186.94000000000003,0.6490972222222223,0.0,0.0
5.0,0.29552691912142703,-93.57901851431336,1152.0,-64.36413969913927,0.189965277777782,0.055868863999648494,0.0,-196.4275427735007,0.27565972222222235,0.48054133549479594,0.059027777777777776
10.0,0.2911205330846749,-93.04850473897568,1152.0,-63.73046960818313,0.19820312500000392,0.03847204634365255,0.0,-154.37918282654792,0.27062500000000006,0.36133786357955944,0.024305555555555556
15.0,0.2867798474516715,-90.19279679058259,1152.0,-65.35516763672129,0.20776041666667044,0.03194541456435934,0.0,-119.82958604086043,0.2757291666666668,0.2339096414401648,0.0
20.0,0.2825038826116844,-85.61653406113011,1152.0,-60.33577592939483,0.19993923611111555,0.015933309776590812,0.0,-105.35086171752391,0.29760416666666695,0.11366239419863391,0.0
25.0,0.2782916735602413,-89.84998675129448,1152.0,-86.52240145824801,0.29515625000000384,0.008781258438931202,0.0,-141.0550542342477,0.3830555555555576,0.17786489718893223,0.0
30.0,0.27414226968134675,-88.45031328759234,1152.0,-59.79963827683846,0.19951388888889318,0.013539573361334047,0.0,-101.35738397222039,0.29815972222222253,0.08962606465405315,0.0
35.0,0.27005473453294604,-84.74978283861148,1152.0,-59.56324687564861,0.1912239583333375,0.025988118493337275,0.0,-120.03049556668557,0.26430555555555557,0.2541116641590597,0.0
40.0,0.2660281456355881,-85.03534340301361,1152.0,-61.15429776170891,0.18591145833333778,0.04404975556544543,0.0,-117.31393710902329,0.2593055555555555,0.24672417308462583,0.0
45.0,0.2620615942642389,-85.39214912370547,1152.0,-59.65280135341612,0.1909982638888931,0.026882530980417797,0.0,-105.14191783821272,0.2672916666666667,0.16297406156373087,0.0
50.0,0.2581541852431999,-83.11765401422294,1152.0,-60.20967038930912,0.1889149305555598,0.03357737493813187,0.0,-139.17850097415848,0.2656944444444446,0.3626070658226768,0.0
55.0,0.2543050367440835,-85.4344334477743,1152.0,-62.972530855340956,0.20826388888889233,0.01731788689433466,0.0,-116.33551053437512,0.277951388888889,0.2099855933702264,0.0
60.0,0.25051328008680107,-84.72146225627752,1152.0,-60.39117797669875,0.189418402777782,0.03378864569848853,0.0,-156.94850097415855,0.25434027777777773,0.39177373248934333,0.027777777777777776
65.0,0.24677805954351825,-80.69772338419008,1152.0,-78.43337808242661,0.26043402777778035,0.019840150939966564,0.0,-339.2273926656404,0.30375000000000113,1.0054825964446776,0.13541666666666666
70.0,0.24309853214553348,-82.63537859038937,1152.0,-60.72981737157373,0.1895052083333376,0.03560368849290392,0.0,-127.14947224124845,0.2618055555555555,0.2994761125072249,0.0
75.0,0.2394738674930357,-86.4160412806552,1152.0,-61.673831416136935,0.18904513888889313,0.04183351513968172,0.0,-124.44883112216117,0.2503819444444445,0.3028867541791739,0.0
80.0,0.23590324756769904,-81.46420951222352,1152.0,-100.69448205870162,0.33983506944444763,0.016330914691555398,0.0,-156.43706384012555,0.38888888888889084,0.25715893425998443,0.0
85.0,0.23238586654807128,-85.97219487187557,1152.0,-61.30873406627666,0.2002256944444486,0.021086423994657006,0.0,-106.0735834869841,0.26409722222222226,0.17368971925338053,0.0
90.0,0.22892093062771535,-83.78927213349506,1152.0,-58.99852115873934,0.19489583333333738,0.016600238187149365,0.0,-111.42436100906852,0.2675347222222222,0.19892570028396156,0.0
95.0,0.2255076578360622,-83.29899348609123,1152.0,-60.99767041346209,0.1891232638888931,0.03779033804086897,0.0,-129.7994722412484,0.2547569444444444,0.3265594458405578,0.0
100.0,0.22214527786193472,-80.22738956359007,1152.0,-61.803784706105944,0.18913194444444867,0.0424408837158913,0.0,-386.8474174154642,0.24156249999999993,1.2458183878209736,0.17708333333333334
105.0,0.2188330318797031,-87.02467521888227,1152.0,-61.759046080896724,0.18883680555555982,0.04267387778296753,0.0,-124.39311758533185,0.2537499999999999,0.29695091195215195,0.0
