epoch,epsilon,train_online_avg_return,train_online_total_steps,eval_train_avg_return,eval_train_avg_energy,eval_train_avg_latency,eval_train_miss_rate,eval_test_avg_return,eval_test_avg_energy,eval_test_avg_latency,eval_test_miss_rate
1.0,0.2988,-99.82985063131076,1152.0,-117.5225000000012,0.4080642361111168,0.0,0.0,-188.8700000000001,0.6557986111111114,0.0,0.0
5.0,0.2940478083836928,-94.36450073978463,1152.0,-63.94536870504317,0.1829687500000046,0.06510630037640723,0.0,-213.13015648273287,0.2609722222222222,0.5785309981639625,0.06597222222222222
10.0,0.28821371205084306,-91.38330066473337,1152.0,-61.95889859249287,0.18609375000000442,0.048402190928778496,0.0,-130.85110411264364,0.2439583333333332,0.3506429636148358,0.0
15.0,0.2824953679155971,-89.72964471749096,1152.0,-102.47196723528174,0.33451388888889194,0.035485921500468635,0.0,-532.6926512468642,0.3339236111111142,1.7622838613823117,0.22916666666666666
20.0,0.27689047938042094,-86.16699536906908,1152.0,-63.09039291260948,0.18334201388889348,0.05953641731834195,0.0,-427.10542163398605,0.20302083333333307,1.543029060381862,0.17708333333333334
25.0,0.27139679541374284,-92.84143985124214,1152.0,-98.82130199438991,0.3310590277777809,0.020117488393455986,0.0,-371.7640572812022,0.3654861111111128,1.0098614425995482,0.1597222222222222
30.0,0.26601210964589506,-89.89044640233625,1152.0,-63.12946727028519,0.18138888888889343,0.06301775040674312,0.0,-191.87102733003275,0.24993055555555546,0.6127952970488003,0.024305555555555556
35.0,0.2607342594829934,-86.27600804732003,1152.0,-59.44896458496093,0.18887152777778204,0.02924748023704281,0.0,-197.52804071690832,0.2544097222222223,0.5339006985932193,0.05555555555555555
40.0,0.2555611252383976,-85.71077920580332,1152.0,-61.85336964140495,0.18849826388889318,0.04378396783220492,0.0,-446.9666834245668,0.2222916666666663,1.556404417966242,0.19791666666666666
45.0,0.2504906292814042,-85.0167145094877,1152.0,-62.93032515380572,0.18286458333333785,0.05940581686230183,0.0,-459.54258513279404,0.21378472222222178,1.6317857935925584,0.2013888888888889
50.0,0.2455207352028299,-84.8321687175079,1152.0,-61.20214742430986,0.18622395833333769,0.04380583000179348,0.0,-125.42092513228478,0.25753472222222223,0.29659100192294446,0.0
55.0,0.24064944699715035,-88.55872684440187,1152.0,-62.03597451888551,0.18572916666667105,0.04945587105836558,0.0,-135.62690317856047,0.2513541666666666,0.36595430080185437,0.0
60.0,0.23587480826086565,-87.60614036917157,1152.0,-100.53698580692638,0.3327256944444475,0.027268436382671613,0.0,-478.7356065125712,0.36180555555555804,1.4961551302810805,0.2013888888888889
65.0,0.231194901406771,-84.30308280047093,1152.0,-61.73609067689531,0.18492187500000443,0.04906591826907042,0.0,-153.4568795975582,0.25055555555555553,0.4473199050784619,0.006944444444444444
70.0,0.22660784689381647,-85.74220495855293,1152.0,-112.57078114817472,0.384939236111115,0.00988588627415572,0.0,-283.7533713472288,0.40430555555555725,0.5747301582594249,0.11805555555555555
75.0,0.22211180247224713,-84.07582020598868,1152.0,-60.40272309530737,0.19242187500000446,0.028849670690436577,0.0,-147.94017578811054,0.27989583333333357,0.3896422209960103,0.0
80.0,0.2177049624437198,-79.35600765002238,1152.0,-86.31789385232643,0.29465277777778154,0.008436885719478555,0.0,-121.88771798844658,0.38343750000000115,0.06630623835906556,0.0
85.0,0.21338555693609984,-85.59272668784999,1152.0,-59.46507496160356,0.18916666666667092,0.028848813435206185,0.0,-255.4990119839981,0.24288194444444441,0.7034086341666561,0.1111111111111111
90.0,0.2091518511926462,-82.03715256422667,1152.0,-60.53604297766519,0.190572916666671,0.032702795009636965,0.0,-155.71659116300245,0.26555555555555577,0.45854508774885644,0.0
95.0,0.20500214487529952,-81.8935685487338,1152.0,-93.48627695594803,0.31603298611111436,0.014286903680249168,0.0,-189.29727814851134,0.37791666666666957,0.303572211507587,0.04861111111111111
100.0,0.20093477138179366,-83.42387414765562,1152.0,-116.44585330339906,0.39811631944444936,0.010349266802073044,0.0,-200.24976210147196,0.4838541666666687,0.3524291788279611,0.0
105.0,0.19694809717631592,-87.30282937938425,1152.0,-72.31018059382114,0.2482986111111144,0.004630674732760065,0.0,-116.39581063857858,0.35333333333333417,0.0846979782325151,0.0
110.0,0.1930405211334475,-84.25160473941165,1152.0,-71.61392844977684,0.22710069444444736,0.03593129889917066,0.0,-264.798462545378,0.2752430555555559,0.7148637878783447,0.1076388888888889
115.0,0.18921047389512058,-78.34087924485333,1152.0,-68.65889441418096,0.22487847222222518,0.022534111193176304,0.0,-224.35286221109212,0.29197916666666734,0.5455026748327094,0.0798611111111111
120.0,0.18545641724033377,-81.41811338149247,1152.0,-62.26704897436471,0.20057291666667065,0.026053524157203568,0.0,-120.36881103358957,0.276527777777778,0.23569913792586586,0.0
125.0,0.1817768434673728,-80.64926972126341,1152.0,-60.712899039509765,0.1931423611111153,0.029443860182348583,0.0,-120.72971189599032,0.2610416666666667,0.2635978697684627,0.0
130.0,0.1781702747882885,-81.44901420910519,1152.0,-95.82130774077075,0.3189756944444471,0.022895299425753288,0.0,-378.9016369970837,0.3573958333333349,1.0415025289183069,0.16666666666666666
135.0,0.17463526273538849,-78.20888058592239,1152.0,-59.59952460804957,0.198532986111115,0.014016346111398412,0.0,-115.92099502226809,0.2713888888888889,0.21852427674923694,0.0
140.0,0.17117038757950453,-80.88594820840972,1152.0,-81.24156638225564,0.2689409722222251,0.021912999897309902,0.0,-127.80980885940374,0.33163194444444527,0.18692019015858607,0.0
145.0,0.16777425775980193,-78.33811806551746,1152.0,-104.95797084691775,0.35411458333333684,0.017204692401140132,0.0,-244.9460808354968,0.40229166666666905,0.48082222705727173,0.0798611111111111
150.0,0.1644455093249017,-80.78726437512691,1152.0,-104.23599704562237,0.35749131944444806,0.007398709754754671,0.0,-233.85663828235823,0.41621527777778033,0.43973749005994206,0.06597222222222222
155.0,0.16118280538509153,-78.97660208769427,1152.0,-59.68613101117069,0.19242187500000418,0.024702725759090074,0.0,-107.84936435368954,0.2747569444444446,0.16620002519496258,0.0
160.0,0.15798483557540477,-79.72720914299636,1152.0,-59.77684276484982,0.19171006944444863,0.026414020629918336,0.0,-102.76922807161937,0.27916666666666684,0.12945155134038988,0.0
165.0,0.15485031552935277,-79.68494844115042,1152.0,-122.81571716229466,0.4213715277777845,0.008453224318829701,0.0,-164.79521507664353,0.5061111111111133,0.11015749465650099,0.0
170.0,0.15177798636309833,-74.81746382163868,1152.0,-60.74975846446042,0.20094618055555977,0.016650801298961192,0.0,-111.12477529765285,0.28072916666666686,0.17520124593549116,0.0
175.0,0.1487666141698636,-74.64139527886856,1152.0,-59.523169290689154,0.1930121527777819,0.02277586395074783,0.0,-115.97576164525937,0.26062500000000005,0.23678102803969514,0.0
